NewVolSales,Price ,Radio ,StockOut%,TV ,Instore,Discount,Website Campaign ,NewspaperInserts
19564,2.71,245,2.28342,145.4,15.452,0,,
19387,2.71,314,2.22134,66,16.388,0,,
23889,2.68,324,2.00604,155.1,62.692,0.05,,
20055,2.73,298,2.19897,114.5,16.573,0,,
20064,2.75,279,1.8186,96.5,41.504,0.045,,
19481,2.74,259,2.29155,139.1,20.404,0,,
19509,2.76,235,2.07661,80.2,32.477,0,,
19033,2.74,290,2.63739,129.8,16.617,0,,
20498,2.71,315,2.28031,124.5,44.796,0.035,,
19509,2.74,318,2.44064,215.1,27.272,0.045,,
18755,2.76,320,2.02237,157.3,19.054,0,,
19600,2.77,330,2.27081,187.4,36.818,0.065,Facebook,
18473,2.76,345,2.51082,174,28.729,0,Facebook,
18262,2.77,278,2.40702,135.7,10.782,0,Facebook,
20550,2.77,250,2.47845,149.1,26.959,0,Facebook,
20101,2.76,250,2.20692,122.3,31.937,0,,
20940,2.71,250,2.38661,126.6,26.228,0,,
20272,2.74,268,2.30943,110.1,25.686,0,,
22228,2.69,287,2.31879,125.4,29.955,0.04345159,,Insert
20402,2.72,290,2.41711,163.9,11.716,0,,
24944,2.68,310,2.22604,199.1,48.987,0.045,,
21653,2.73,320,2.14819,118.4,18.97,0,,
21139,2.73,345,2.15272,140.3,13.659,0,,
20071,2.72,350,2.08844,215.3,18.799,0,,
22707,2.67,328,2.17695,192.2,51.727,0.055,,
20055,2.71,345,2.0752,116.4,24.686,0,,
24219,2.67,310,2.47874,280.5,44.416,0.049472915,,
20093,2.73,294,2.43444,106,13.786,0,,
19702,2.73,315,2.46132,56.5,13.118,0,,
21507,2.71,315,2.03925,183.5,24.219,0,,
20538,2.73,250,2.43321,224.2,22.623,0,,
21034,2.76,250,2.35075,222.4,53.787,0.063153816,,
21546,2.71,0,2.42992,166.5,34.117,0.060399318,,
19597,2.75,0,2.64613,257.9,18.111,0,,
19696,2.75,0,2.47329,236.1,25.406,0,,
20104,2.74,224,2.9124,140.3,30.386,0.039469809,,
17952,2.78,253,2.64979,117.8,22.054,0,,
19877,2.74,234,2.70725,83.2,42.144,0.054000788,,
20183,2.75,249,2.39073,189.9,42.415,0.044411908,,Insert
18502,2.78,236,2.23971,146,16.684,0,,
17937,2.79,276,2.64806,104.8,26.602,0,,
18977,2.78,298,2.41695,182.2,41.048,0.053956493,,
19588,2.77,313,2.41451,121.5,33.614,0.040841822,,
19980,2.75,320,2.45625,123.4,57.707,0.05229331,,
20442,2.74,312,2.44641,134.6,26.808,0.042247986,,Insert
19953,2.74,321,2.57093,174.4,20.749,0,Twitter,
20383,2.73,290,2.49391,219.1,37.036,0,Twitter,
22730,2.68,290,2.13239,170.3,37.142,0,Twitter,
23576,2.67,290,2.58442,198.2,39.609,0.062362896,Twitter,
21236,2.74,290,2.35971,260.7,40.122,0.06447485,,
20997,2.72,290,2.24545,113.8,25.663,0.045581488,,
22466,2.71,290,2.3847,160.3,59.704,0.090762729,,
19578,2.73,0,2.70763,188.3,23.331,0,,
18667,2.75,0,2.82981,109.8,19.289,0,,Insert
20690,2.72,0,2.55256,128.2,40.305,0,,
20988,2.71,0,2.47412,198.9,39.121,0,,
23872,2.7,0,2.15073,122.1,63.376,0.05576473,,
19178,2.75,341,2.53717,46,26.128,0,,
19929,2.74,354,2.59796,156.7,37.115,0,,
19004,2.76,341,2.73315,217.3,31.96,0,,
19027,2.76,310,2.30628,96.9,21.398,0,,
18828,2.77,298,2.84464,61,26.851,0,,
19897,2.76,317,2.53279,111.6,46.118,0.048362086,,
19756,2.77,320,2.3899,209,57.543,0.075893711,,
20153,2.75,310,2.98161,177.6,64.972,0.066317118,,
18779,2.75,320,2.984,76,22.227,0,,Insert
21041,2.71,324,2.54844,140.6,28.883,0,,
20930,2.7,330,3.10599,194.9,36.743,0.059957391,,
19934,2.72,300,2.38016,80.4,41.172,0.049406128,,
22101,2.66,300,2.8515,150.1,36.771,0.050371767,,
20951,2.68,399,2.78635,180.3,37.248,0.056709018,,
20277,2.67,300,2.87728,101.3,17.409,0.033052697,,
22767,2.67,245,2.14129,83.9,54.308,0.051758322,,
21196,2.69,276,2.39876,166.5,23.335,0.026764736,,
24468,2.62,251,2.66283,130.9,37.836,0.051045844,,
22495,2.64,247,2.84149,110.2,45.307,0,,
26890,2.63,261,2.97774,162,34.215,0,,
19400,2.67,257,3.0149,122.1,27.956,0,,
23677,2.68,250,2.51717,13.7,68.119,0.077304159,,
20324,2.7,243,2.41463,120.6,29.317,0,,
19529,2.74,267,2.14445,161.3,25.452,0,,
19831,2.73,210,3.10158,93.7,25.121,0,,
19068,2.75,221,2.80915,158.5,16.481,0,,
19144,2.74,219,2.55737,94.9,18.074,0,,
20635,2.72,218,2.51033,71.4,34.414,0,,
19558,2.72,212,2.89872,18.3,18.387,0,,
19561,2.72,201,3.06922,123.9,52.137,0.073763955,,
18890,2.73,209,2.9457,129.8,18.026,0.034482759,,
20204,2.68,210,2.98278,2.3,60.145,0.071266735,Website Campaign ,
18524,2.72,208,2.83324,135.1,33.169,0,Website Campaign ,
18508,2.71,210,3.13095,93.5,47.023,0.049254633,Website Campaign ,
17431,2.74,221,2.90042,212.9,13.524,0,Website Campaign ,
18705,2.72,218,3.1472,150,34.331,0,Website Campaign ,
18941,2.72,201,2.89234,5.2,51.487,0,Website Campaign ,
17785,2.75,235,2.93475,246.9,18.201,0,,
18289,2.72,239,3.15862,213.9,34.074,0,,
17926,2.76,212,2.95312,0.9,34.684,0,,
18312,2.76,239,2.7384,195.8,39.253,0,,Insert
19126,2.75,280,2.80214,193.9,38.735,0,,
18335,2.77,292,3.0854,24.1,29.485,0,,
19054,2.75,312,2.65688,162.3,48.611,0.054209246,,
18198,2.77,315,2.92802,194.9,29.323,0.04,,
20495,2.75,343,2.53958,159.2,50.935,0.061,,
18169,2.79,330,2.6679,161.1,46.169,0.06053496,,
