CustID,ASP,Recency,Frequency,Monetary
MU11149,1195.2941176,1,4,3
MU10324,1174.1935484,3,4,2
MU10778,1100,2,4,3
MU10913,1100,2,4,3
MU10495,1065.1685393,3,4,2
MU10972,1055.1111111,2,4,3
MU10340,1000,3,4,3
MU11152,995.55555556,1,4,4
MU11071,994.73684211,1,4,4
MU10612,983.69230769,2,3,2
MU10247,952.60504202,1,2,2
MU10772,935.55555556,2,4,4
MU10799,935.55555556,2,4,4
MU10813,935.55555556,2,4,4
MU10851,935,2,4,3
MU10580,920,3,4,4
MU10896,916.47058824,2,4,3
MU10643,912.34782609,2,3,2
MU10644,895.33333333,3,4,4
MU11000,895.23809524,2,4,4
MU10545,895,3,4,3
MU10584,895,1,4,3
MU11207,895,1,4,4
MU10952,894.95327103,1,2,2
MU10989,894.81481481,2,4,4
MU11031,894.81481481,2,4,4
MU10332,876.73469388,3,3,2
MU11009,872,2,4,4
MU2443,870,5,3,4
MU1291,869,5,4,4
MU11008,854.11764706,1,3,3
MU10267,850,3,4,3
MU10446,850,3,3,3
MU10810,835.23809524,2,4,4
MU10755,835.08196721,2,4,3
MU10760,835,2,4,4
MU11124,826.66666667,1,4,5
MU11023,826,2,4,5
MU11135,826,1,4,5
MU10017,825.85365854,4,4,3
MU11074,825,1,4,4
MU11085,825,1,4,4
MU10425,816.85950413,2,2,2
MU10824,814.42622951,2,4,3
MU11136,805.6,1,4,4
MU10628,803.33333333,2,3,3
MU10266,800.4040404,3,2,3
MU10376,797.6,3,3,3
MU10483,793.26732673,2,2,3
MU11099,790.75268817,1,3,3
MU10398,788,3,3,3
MU10270,782.60869565,3,3,3
MU10114,780.27491409,1,2,2
MU10279,776.875,2,2,2
MU10627,776,3,4,5
MU10791,776,2,4,5
MU11188,775,1,4,4
MU11028,774.73684211,1,3,3
MU10130,771.36363636,3,3,3
MU10592,769,2,3,3
MU3427,765,5,4,4
MU11063,762,1,4,4
MU10758,756.42857143,2,3,3
MU11103,751,1,3,4
MU10203,744.86486486,3,4,4
MU10069,743.63636364,3,4,4
MU11089,737,1,4,4
MU10095,735.74994573,1,1,1
MU10282,735.35211268,3,3,2
MU10743,735,2,4,4
MU10757,733.33333333,2,4,4
MU10390,731.65991903,2,3,2
MU10761,727.5862069,1,3,3
MU10441,724.84076433,2,2,2
MU3253,724.57861635,1,1,1
MU10867,722.05882353,1,3,3
MU10885,721.875,2,4,4
MU10506,718.7,2,2,2
MU10731,718.11074919,1,2,2
MU10093,716.15384615,3,3,3
MU10360,714.43037975,3,3,3
MU10113,708.57142857,2,3,4
MU2576,701.57024793,4,2,1
MU10821,700,2,3,3
MU10306,699.45945946,3,4,4
MU10212,697.39726027,1,3,2
MU11157,695.23809524,1,4,4
MU10419,691.42857143,3,4,5
MU10841,690.27777778,1,3,2
MU10316,690,3,4,5
MU10429,690,3,4,4
MU10434,690,3,4,4
MU10454,690,3,4,5
MU10478,690,3,4,4
MU10482,690,3,4,4
MU10667,690,3,4,3
MU10675,690,3,4,4
MU10349,685.6097561,1,3,3
MU10066,682.65909091,2,2,1
MU10774,679.08396947,1,3,2
MU10367,678.73873874,2,2,3
MU11060,676.66666667,1,4,4
MU11202,676.66666667,1,4,4
MU2280,669.68253968,3,3,2
MU10260,667.61904762,3,4,4
MU2480,666.52173913,2,3,3
MU10331,666.30630631,3,3,3
MU10147,666.15384615,1,3,3
MU10664,665.76744186,2,3,2
MU10951,665.45454545,2,3,4
MU11122,663.25,1,4,3
MU2221,663,3,4,3
MU11139,662.5,1,4,4
MU1053,660.625,2,3,4
MU10808,656.66666667,2,3,3
MU10341,656.04938272,2,3,3
MU1292,655.69734004,1,1,1
MU10969,655,2,4,3
MU11032,654,2,4,4
MU10473,652.74336283,1,3,3
MU10313,652.2875817,2,3,2
MU10747,647.95454545,2,2,2
MU10503,646.66666667,3,4,4
MU10874,645.83333333,2,4,4
MU10246,645.71428571,3,4,5
MU10258,645.71428571,3,4,5
MU10305,645.33333333,3,4,5
MU10041,645,4,4,4
MU10128,645,3,4,4
MU11128,644.74820144,1,3,2
MU10818,642.5,2,4,4
MU1065,637.66666667,4,3,3
MU11075,637.5,1,4,4
MU11084,637.5,1,4,4
MU10855,635.48387097,2,4,4
MU10806,634.54545455,2,4,5
MU1239,633.71273713,4,2,2
MU10767,633.5,1,2,2
MU10484,630,3,3,5
MU10265,625.51724138,2,3,3
MU11025,624.31137725,1,3,2
MU3562,624.00449944,1,1,1
MU2271,623.28879753,2,2,1
MU11065,621.76470588,1,4,4
MU10493,621.5,3,4,4
MU10714,618.125,2,2,2
MU2637,618.04444444,4,3,2
MU11017,617.77777778,1,3,4
MU10491,616.66666667,3,4,3
MU10722,616.66666667,2,3,4
MU11153,615.71428571,1,4,4
MU11115,615.5,1,4,4
MU10601,611,2,3,5
MU3113,610.47325103,2,1,1
MU10014,608.33333333,1,3,3
MU10555,607.98122066,1,2,2
MU1935,607.36842105,1,2,1
MU10850,606.42857143,2,4,4
MU10765,605.57377049,1,2,3
MU2096,605,4,3,5
MU10445,604.23280423,1,2,2
MU10025,602.5,4,4,4
MU11096,602.5,1,4,3
MU10199,601.2244898,3,3,4
MU10452,599.78494624,1,3,3
MU11199,598.33333333,1,4,3
MU11123,597.77777778,1,3,4
MU10553,596,3,4,5
MU10414,595.33333333,2,3,3
MU10611,595.12195122,3,4,4
MU10662,595.12195122,3,3,4
MU10668,595,3,4,5
MU10175,594.83870968,3,3,3
MU10684,592.77108434,1,3,3
MU11203,592.35294118,1,4,4
MU11120,591.76470588,1,4,5
MU10319,591.73228346,2,3,2
MU10600,590.60240964,1,2,2
MU11036,589.10891089,2,4,3
MU11019,588.97435897,1,3,3
MU2613,588.91803279,4,2,1
MU10959,588.66666667,2,4,4
MU1507,588.585209,1,1,1
MU10016,588.57142857,2,3,4
MU10351,588.33333333,3,4,4
MU1796,587.91451732,2,1,1
MU10828,585,2,4,5
MU11161,584.61538462,1,4,4
MU3201,583.46420323,3,1,2
MU3504,581.49779736,4,2,2
MU10233,580.45454545,3,4,4
MU10420,580,3,4,3
MU10458,580,3,4,4
MU10519,580,3,4,4
MU3365,578.89168766,1,1,1
MU10149,577.93103448,3,3,3
MU10753,577.88819876,1,2,2
MU10887,577.03703704,2,3,3
MU10682,575,2,3,2
MU3560,574.43914081,1,1,1
MU3013,573.94970414,1,1,1
MU2909,572.15827338,2,2,1
MU10388,571.66666667,3,4,3
MU11035,570.54545455,1,3,3
MU10583,569.70588235,2,3,3
MU10563,568.88888889,2,3,3
MU11077,568.57142857,1,4,3
MU10356,568.35820896,1,3,3
MU10278,567.1393643,1,2,2
MU2194,565,5,4,5
MU2537,563.63636364,4,3,4
MU1673,563.52794644,1,1,1
MU11064,562.5,1,4,3
MU10003,561.91891892,1,2,1
MU10318,561.25,2,3,4
MU10057,561.2244898,2,2,2
MU10221,560.47619048,3,3,4
MU10174,560,3,4,5
MU10261,560,3,4,3
MU10477,560,3,4,5
MU10728,560,2,4,5
MU10779,560,2,4,5
MU10895,560,2,4,4
MU10903,560,2,4,5
MU10939,560,2,3,5
MU10940,560,2,4,5
MU10942,560,2,4,5
MU10595,558.80758808,1,2,2
MU10933,558.60465116,1,2,2
MU10210,557.57575758,2,3,4
MU10290,557.08108108,2,2,2
MU10102,556.48998822,1,2,1
MU10786,555.625,2,3,4
MU10550,554.89655172,3,3,3
MU10878,554.67980296,2,3,2
MU10236,554.66666667,3,3,5
MU11121,554.14634146,1,3,3
MU10577,552.5,3,4,4
MU2899,552.2997729,2,1,1
MU3235,550,5,4,5
MU2971,548.26923077,4,3,3
MU10384,546.58823529,2,3,3
MU10596,545.45454545,3,4,5
MU10182,545.125,1,3,2
MU10535,544.80916031,1,2,2
MU10517,544.28571429,3,3,3
MU1483,543.42857143,3,3,4
MU10120,543.22580645,2,2,2
MU10424,543.11111111,2,3,4
MU10576,543.10344828,3,3,3
MU10109,542.87878788,3,3,3
MU10004,542.63157895,4,4,4
MU2662,542.049217,2,1,1
MU1583,541,1,3,3
MU1921,540.58823529,1,3,3
MU10315,540,3,4,5
MU10922,540,2,4,3
MU10192,539.42275042,2,2,1
MU10982,538.83211679,1,2,3
MU2737,537.79141104,1,2,2
MU3125,537.56097561,3,4,4
MU10393,537.04918033,3,3,3
MU3403,537.00729927,4,3,1
MU10092,537,3,3,3
MU2066,535.30054645,1,2,2
MU10087,534.18181818,2,3,3
MU10362,534.10334347,2,3,2
MU10694,533.22834646,2,3,3
MU3413,532.56410256,4,3,2
MU10496,532.53333333,1,2,3
MU10269,530.14634146,2,3,2
MU10198,529.52380952,3,4,5
MU10150,528.07017544,2,2,2
MU10526,527.95698925,2,3,3
MU3186,526.14012739,2,1,1
MU10798,525.71428571,2,4,3
MU3502,524.88578339,1,1,1
MU10666,524.36090226,2,2,2
MU2183,524.18860511,1,1,1
MU10135,523.69230769,3,3,3
MU10640,522.73170732,2,3,2
MU10344,521.83673469,3,3,3
MU10422,521.66666667,3,4,3
MU11047,520.45454545,1,4,2
MU2226,519.82541507,1,1,1
MU10039,517.67901235,1,2,2
MU10347,517.45980707,2,2,1
MU1590,517.14893617,1,2,2
MU10411,516.96098563,2,2,2
MU10504,516.66666667,3,4,3
MU11029,515.33333333,1,3,3
MU1594,515.09641873,3,2,2
MU2658,515.01952036,2,1,1
MU3473,513.4439834,4,2,2
MU10832,513.33333333,2,4,5
MU3097,513.22252011,2,1,1
MU1527,513.20082248,1,1,1
MU1170,512.16961952,4,2,1
MU10748,510.60606061,2,3,2
MU11054,510.44776119,1,3,3
MU10289,510.14925373,2,3,3
MU3367,510.03567182,3,2,1
MU10973,508.77192982,2,4,4
MU2940,508.5,5,3,4
MU10649,508.33333333,2,3,4
MU3249,505.17045455,3,1,1
MU10689,504.83333333,1,3,3
MU10629,503.33333333,2,3,3
MU3496,503.02325581,4,3,3
MU3017,502.91836735,1,1,1
MU1497,502.67716535,2,2,3
MU2544,501.10107422,1,1,1
MU10573,499.63855422,2,2,2
MU10992,498.15384615,2,4,3
MU10839,497.77777778,2,4,4
MU10392,496.89655172,3,3,3
MU10619,496.53846154,2,3,4
MU10428,496.47058824,3,4,5
MU2951,496.13496933,3,2,2
MU10312,496,3,3,2
MU2322,496,5,4,5
MU10018,495.90909091,3,3,4
MU10443,495.88235294,3,4,4
MU3269,495.25862069,1,2,2
MU10230,495.2,1,3,4
MU10346,495,3,4,4
MU10447,495,3,4,3
MU10508,495,3,4,4
MU10866,495,2,4,4
MU10947,495,2,4,4
MU11030,495,2,4,4
MU11196,495,1,4,5
MU11039,494.28571429,1,3,3
MU10073,493.33333333,3,4,4
MU2007,493,4,4,5
MU1832,490.40201005,4,2,2
MU10013,490.35087719,1,2,2
MU2914,489.80306346,4,2,2
MU10137,489.33333333,3,3,3
MU10521,488.33333333,2,3,3
MU2974,487.42574257,1,3,2
MU11014,487.07964602,2,3,3
MU10518,486.66666667,2,3,3
MU2204,486.55634358,2,1,1
MU1450,485.66666667,4,3,4
MU10988,485.49019608,1,2,2
MU160,485,5,4,4
MU10499,484.83091787,1,3,2
MU10271,484.79591837,3,3,2
MU3027,484.05222873,1,1,1
MU3457,483.64692218,3,1,1
MU10836,483.38461538,2,3,3
MU11010,483.25581395,2,4,4
MU2626,482.71584241,4,1,1
MU3168,482.68315301,1,1,1
MU10633,482.625,1,3,3
MU10489,481.95121951,3,4,3
MU3220,481.80485054,2,1,1
MU3146,481.5408805,4,2,1
MU10195,480.35928144,3,3,3
MU2496,479.33598478,1,1,1
MU1288,479.00341964,1,1,1
MU1563,477.46268657,1,3,3
MU3479,477.24137931,5,3,4
MU3452,476.78481013,2,1,1
MU10184,476.32911392,3,2,3
MU2600,476.32727273,2,1,1
MU10334,476.14325069,2,2,2
MU10500,475.55555556,3,4,4
MU10817,475,2,4,4
MU10285,474.51114923,2,2,2
MU10053,474.21052632,3,4,4
MU3550,473.89996375,3,1,1
MU10598,473.87878788,1,2,1
MU11070,473.65853659,1,3,4
MU10079,473.55987055,1,1,1
MU11037,473.09090909,1,3,3
MU10570,472.77777778,3,4,3
MU2265,472.68525896,4,1,1
MU10252,471.5480427,1,1,1
MU3182,471.28481581,2,1,1
MU3251,471.10982659,1,1,1
MU10962,470.93023256,1,3,3
MU2516,470.07793535,3,1,1
MU10357,470,3,3,3
MU10793,470,2,4,4
MU10008,469.95594714,3,3,2
MU10009,469.88571429,3,3,2
MU10466,469.53405018,2,2,2
MU3490,469.31506849,5,4,3
MU1139,469.30693069,5,4,5
MU2919,468.96551724,5,4,4
MU3155,468.57142857,5,4,5
MU10348,467.89473684,3,2,3
MU10471,467.22222222,3,4,4
MU3411,466.32653061,2,1,1
MU10383,463.71764706,2,2,2
MU2602,463.4165316,2,1,1
MU10889,462.27642276,2,3,3
MU10023,460.38461538,4,4,4
MU10337,460,3,4,4
MU10608,460,3,4,4
MU1972,460,5,3,4
MU3450,459.89417989,2,2,2
MU10234,459.75609756,3,3,3
MU10990,458.82352941,1,3,3
MU2486,458.48179706,4,2,2
MU10336,458.37037037,3,3,3
MU10314,458.33333333,3,3,4
MU2449,457.95952782,2,1,1
MU3358,457.71428571,5,4,4
MU3004,457.44680851,5,3,4
MU10033,456.41025641,2,2,2
MU11143,456.05263158,1,4,3
MU1141,455.47540984,1,1,1
MU10960,455,2,4,4
MU10105,454.51428571,1,2,3
MU2120,454.49814126,3,2,2
MU3541,454.46769791,2,1,1
MU3420,453.98240825,1,1,1
MU1624,453.84615385,4,3,4
MU10242,453.65853659,3,4,4
MU3314,453.1372549,5,3,2
MU10050,453.12,1,2,2
MU10586,452.30769231,3,4,5
MU10449,452.1182266,2,3,2
MU1019,452,5,4,4
MU2683,451.95370046,2,1,1
MU2882,451.66666667,4,3,4
MU1287,451.53846154,4,2,2
MU10983,450.74074074,2,4,4
MU3566,450.58710298,2,1,1
MU3451,450.47619048,5,4,5
MU3505,450.28555888,3,1,1
MU2578,449.27536232,4,3,3
MU10056,449.18032787,3,3,4
MU1088,448.45230575,2,1,1
MU10433,447.91366906,2,2,3
MU10300,447,3,2,3
MU2489,446.59090909,3,1,2
MU1225,446.40820981,2,1,1
MU2521,446.13333333,3,2,2
MU10524,445.92592593,3,4,5
MU3439,445.54517134,3,2,2
MU2643,445.42056075,2,2,3
MU10308,445.2,3,3,4
MU2594,444.92345883,1,1,1
MU10328,443.92550143,3,2,1
MU2993,443.72759857,4,2,2
MU2010,443.52767091,3,1,1
MU2034,443.09371111,3,1,1
MU2978,441.97297297,4,2,1
MU2160,441.38769671,3,1,1
MU3375,441.25,5,3,3
MU132,441.16959064,2,2,2
MU2883,440.76923077,2,3,2
MU10691,440,3,4,4
MU1904,439.45551648,1,1,1
MU2672,439.07216495,2,1,2
MU30,437.6,5,4,4
MU1723,437.56876664,3,2,1
MU2426,436.70103093,5,3,3
MU10530,436.61538462,3,3,4
MU2563,436.12403101,1,2,2
MU2477,435.47788873,3,1,1
MU1248,435.29411765,5,2,4
MU2298,435.28428094,5,2,3
MU1236,435.24054983,1,1,1
MU3319,435.15759312,1,1,1
MU10297,434.91803279,3,3,3
MU10444,434.7826087,2,3,3
MU2748,434.32291667,3,2,2
MU10578,433.94230769,1,3,2
MU10976,433.73134328,2,4,4
MU3489,433.27712198,4,1,1
MU2392,433.1147541,4,3,4
MU10811,432.98245614,2,3,4
MU2368,432.53521127,4,2,2
MU10255,431.66666667,1,3,3
MU2483,431.18644068,3,2,2
MU10819,430.5785124,2,3,3
MU10220,430.16393443,3,4,4
MU11127,430,1,4,5
MU11159,430,1,4,4
MU11189,430,1,4,5
MU2185,429.65174129,2,2,2
MU10440,427.5,3,4,4
MU2777,427.3657289,3,1,2
MU10875,426.98412698,1,2,3
MU10680,426.82926829,1,3,3
MU10284,426.66666667,3,4,4
MU2101,426.57101865,4,1,1
MU10123,425.6445993,1,2,2
MU11072,425.55555556,1,4,5
MU3494,425.33333333,5,3,5
MU2771,425.1727542,2,1,1
MU10985,425,2,3,4
MU11087,425,1,4,4
MU11186,425,1,4,5
MU11187,425,1,4,5
MU11163,424.84848485,1,3,4
MU10964,424.8,2,4,5
MU2561,423.59405301,1,1,2
MU10320,423.07692308,1,3,4
MU10558,422.85714286,3,4,4
MU2030,422.421875,1,2,2
MU3339,421.93732194,4,1,2
MU3545,421.62162162,4,3,3
MU10766,421.5,2,3,3
MU2246,421.29098361,3,1,1
MU3276,420.25450689,3,2,3
MU1087,420.20156775,3,2,1
MU2323,420.13620885,2,2,1
MU10462,420,3,4,5
MU323,419.625323,1,1,1
MU2020,419.48881789,4,2,2
MU1986,419.28246014,1,1,1
MU10510,419.20289855,1,2,2
MU3575,418.42271293,4,1,1
MU1178,418.33333333,3,3,4
MU1998,417.82101167,2,2,2
MU10194,417.80645161,3,3,3
MU2528,417.6899696,2,2,2
MU10417,417.41176471,2,3,3
MU1265,416.95156695,4,3,3
MU3209,416.9197861,2,1,1
MU10257,416.72330097,1,1,1
MU10335,416.5,3,3,4
MU2952,416.31967764,3,2,2
MU10552,415.43859649,1,3,2
MU11093,415.33333333,1,4,5
MU2760,415.33116178,4,2,1
MU2846,415.29411765,5,4,5
MU2029,415.08406044,1,1,1
MU10317,414.02843602,3,3,2
MU2109,413.88888889,4,3,3
MU10133,413.46938776,3,4,3
MU1544,413.20224719,1,1,1
MU1217,412.59288228,2,2,2
MU10941,412.19512195,2,4,4
MU10987,411.9047619,2,4,4
MU3499,411.59895151,1,1,1
MU2307,411.58559697,3,1,1
MU2503,411.49305556,1,1,1
MU342,410.89668791,3,1,1
MU2334,410.80779944,2,2,2
MU10782,410.2173913,2,3,3
MU2845,410.06239082,1,1,1
MU11162,410,1,4,4
MU2824,409.95095368,1,1,1
MU10677,409.65517241,1,3,3
MU3503,409.47368421,4,4,4
MU2079,409.24633636,2,1,2
MU2260,408.49942726,2,1,1
MU10286,408.47736626,1,2,2
MU10146,408.45425868,2,2,2
MU10705,408.23529412,3,4,5
MU11102,408,1,4,4
MU11020,407.69230769,2,4,5
MU3123,407.52066116,3,2,2
MU3569,407.26323639,1,1,1
MU1176,406.99398798,2,1,1
MU10654,406.63212435,1,3,3
MU2326,406.48798521,4,2,1
MU278,405.36585366,4,4,4
MU2632,405.09090909,5,3,3
MU10435,405,3,3,4
MU10479,405,3,4,4
MU1270,404.70868821,5,4,3
MU2138,404.70868821,5,4,5
MU2585,404.70868821,5,4,5
MU2826,404.70868821,5,4,5
MU3578,404.70868821,5,4,5
MU2804,404.3442623,4,2,2
MU2122,403.23682257,3,1,1
MU1264,403.03308824,4,2,1
MU10475,402.5,3,4,4
MU1999,402.08450704,4,3,2
MU2567,402.02182654,4,1,1
MU2596,402,5,3,5
MU3226,401.98083067,4,2,2
MU10994,401.57894737,1,3,4
MU1944,401.36986301,4,3,4
MU3460,401.30718954,4,3,3
MU3347,400.34647551,4,1,1
MU3576,400.31971581,2,1,2
MU1253,400,3,3,2
MU2198,400,4,2,3
MU10539,399.8019802,1,3,3
MU1063,399.71544715,3,2,2
MU2213,398.94946053,2,1,1
MU2917,398.94736842,5,4,5
MU2004,397.93478261,2,3,3
MU2560,397.38542767,2,1,1
MU10241,397.35849057,3,3,4
MU10226,396.18270799,2,2,2
MU11088,396.15384615,1,4,3
MU3510,395.83333333,5,4,5
MU2769,395.73770492,4,3,4
MU10646,395.45454545,3,4,5
MU10719,395.45454545,2,4,5
MU10669,395.38461538,3,4,5
MU1067,395.33333333,4,4,5
MU10430,395.29411765,3,4,4
MU10141,395.23809524,3,4,5
MU10512,395.23809524,3,4,5
MU10679,395.23809524,3,4,4
MU3322,395.20547945,2,2,3
MU10381,395.15151515,2,3,4
MU10741,395.12820513,2,3,3
MU10893,395.01805054,1,3,2
MU10063,395,3,4,5
MU10104,395,3,3,4
MU10171,395,3,4,5
MU10208,395,3,4,5
MU10256,395,3,4,4
MU10330,395,3,4,4
MU10385,395,3,4,5
MU10397,395,3,4,5
MU10453,395,3,4,4
MU10543,395,3,4,5
MU10560,395,3,4,5
MU10605,395,3,4,5
MU10999,395,2,4,5
MU11046,395,1,3,4
MU2799,395,4,4,4
MU3540,395,5,4,4
MU10181,395,3,3,4
MU2177,394.99668215,1,1,1
MU1937,394.94949495,3,2,2
MU10749,394.66666667,2,4,5
MU2718,393.76404494,1,1,1
MU3069,393.67088608,2,2,2
MU1858,393,4,3,4
MU1078,392.94478528,5,4,4
MU2906,392.55319149,5,4,3
MU10720,392.38461538,2,3,2
MU2969,392.22925003,1,1,1
MU1692,392.03559186,2,1,1
MU10494,391.2,3,4,5
MU1874,391.17924528,4,2,2
MU3252,390.63063063,1,2,1
MU3157,389.90825688,4,2,2
MU3551,389.6875,4,2,3
MU10687,389.43396226,3,4,4
MU10754,389.23076923,2,4,5
MU1433,388.88888889,2,3,4
MU10373,388.86597938,1,2,3
MU3150,388.29268293,5,3,3
MU333,388.27225131,1,2,3
MU10956,387.90697674,2,4,4
MU2816,387.66666667,4,3,4
MU1449,387.38636364,4,2,2
MU2903,387.27407407,1,1,1
MU2188,387.27272727,5,4,4
MU1751,387.25892424,1,1,1
MU10847,387.01754386,1,3,3
MU10777,386.47887324,2,3,4
MU10659,386.43478261,2,3,3
MU10588,386.15384615,3,3,4
MU2382,386.09986505,1,1,1
MU10323,385.6626506,3,2,3
MU2259,385.65217391,4,3,4
MU11200,385.625,1,4,5
MU2941,385.33333333,5,4,5
MU10119,385.14285714,3,4,4
MU2234,385,5,4,5
MU2410,385,5,4,5
MU2497,385,5,4,5
MU2752,385,5,4,5
MU10012,384.89795918,4,4,4
MU10658,384.70588235,3,4,4
MU1152,384.69656992,3,1,1
MU3458,384.57564576,2,1,1
MU2715,384.17604913,2,1,1
MU2915,383.80952381,4,2,3
MU1652,383.67979131,3,1,1
MU3162,383.26615705,1,1,1
MU10671,383.11111111,1,3,4
MU10399,382.85714286,3,4,5
MU10125,381.39130435,3,2,3
MU1919,381.15853659,2,1,1
MU2546,381.07835531,1,1,1
MU2939,380.98039216,2,2,2
MU10098,380.88235294,3,2,3
MU2720,380.31858029,3,1,1
MU3378,380.13793103,4,2,2
MU10391,380.08849558,1,3,2
MU10389,380,3,3,3
MU10776,380,2,4,5
MU10785,380,2,4,4
MU10825,380,2,4,5
MU10857,380,2,4,5
MU10859,380,2,4,5
MU10954,380,2,4,4
MU10970,380,2,4,5
MU10978,380,2,4,5
MU10979,380,2,4,5
MU10981,380,2,4,5
MU11026,380,2,4,5
MU11043,380,2,4,5
MU11112,380,1,4,5
MU11209,380,1,4,5
MU283,380,4,4,5
MU2314,379.96848633,1,1,1
MU10034,379.90016639,2,2,2
MU2282,379.71855761,2,1,1
MU2015,379.24073247,3,1,1
MU2930,379.04761905,5,4,5
MU10610,378.87850467,2,3,3
MU2867,378.57419981,2,1,1
MU10060,378,2,3,3
MU11042,377.94871795,1,3,4
MU10144,377.2,3,4,4
MU1086,377.15270936,2,1,1
MU2351,377.00547778,1,1,1
MU3122,376.97014925,3,1,1
MU11208,376.89655172,1,4,4
MU1166,376.88725015,2,1,1
MU10621,376.84210526,3,3,4
MU10511,375.61181435,1,3,2
MU10243,375.53398058,2,3,3
MU10869,375.23809524,2,4,5
MU3379,375.22917091,3,1,1
MU11005,375.17241379,2,4,4
MU11057,375.12195122,1,3,3
MU10294,375,3,4,5
MU11168,375,1,4,4
MU2110,374.89374621,1,1,1
MU3016,374.24236294,1,1,1
MU2921,374.11140584,3,1,2
